May 16 19:33:10 research21 systemd[1]: Started snap.k8s.kube-controller-manager.service - Service for snap application k8s.kube-controller-manager.
May 16 19:33:10 research21 k8s.kube-controller-manager[36373]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:10 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:14 research21 k8s.kube-controller-manager[36994]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:14 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:18 research21 k8s.kube-controller-manager[37279]: Error from server (Forbidden): forbidden: User "system:node:research21" cannot get path "/readyz"
May 16 19:33:18 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + ulimit -c unlimited
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + export GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + [[ -f /var/snap/k8s/common/args/kube-controller-manager-env ]]
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + exec /snap/k8s/2500/bin/kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller.conf --authorization-kubeconfig=/etc/kubernetes/controller.conf --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --kubeconfig=/etc/kubernetes/controller.conf --leader-elect-lease-duration=30s --leader-elect-renew-deadline=15s --profiling=false --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/serviceaccount.key --terminated-pod-gc-threshold=12500 --tls-min-version=VersionTLS12 --use-service-account-credentials=true
May 16 19:33:23 research21 k8s.kube-controller-manager[36331]: I0516 19:33:23.577344   36331 serving.go:386] Generated self-signed cert in-memory
May 16 19:36:17 research21 k8s.kube-controller-manager[36331]: I0516 19:36:17.804628   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="1.002707ms"
May 16 19:38:13 research21 k8s.kube-controller-manager[36331]: I0516 19:38:13.220113   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="39.754788ms"
May 16 19:38:13 research21 k8s.kube-controller-manager[36331]: I0516 19:38:13.269141   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="48.952708ms"
May 16 19:38:13 research21 k8s.kube-controller-manager[36331]: I0516 19:38:13.287182   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="17.890727ms"
May 16 19:38:13 research21 k8s.kube-controller-manager[36331]: I0516 19:38:13.287312   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="76.542µs"
May 16 19:38:15 research21 k8s.kube-controller-manager[36331]: I0516 19:38:15.323431   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="28.544729ms"
May 16 19:38:15 research21 k8s.kube-controller-manager[36331]: I0516 19:38:15.326842   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="79.239µs"
May 16 19:39:24 research21 k8s.kube-controller-manager[36331]: W0516 19:39:24.032372   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:39:24 research21 k8s.kube-controller-manager[36331]: E0516 19:39:24.043875   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:39:41 research21 k8s.kube-controller-manager[36331]: W0516 19:39:41.383506   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:39:41 research21 k8s.kube-controller-manager[36331]: E0516 19:39:41.388089   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:39:53 research21 k8s.kube-controller-manager[36331]: W0516 19:39:53.409625   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:39:53 research21 k8s.kube-controller-manager[36331]: E0516 19:39:53.416786   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:39:54 research21 k8s.kube-controller-manager[36331]: I0516 19:39:54.250251   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="113.877666ms"
May 16 19:39:54 research21 k8s.kube-controller-manager[36331]: I0516 19:39:54.348426   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="98.093603ms"
May 16 19:39:54 research21 k8s.kube-controller-manager[36331]: I0516 19:39:54.565580   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="216.581197ms"
May 16 19:39:54 research21 k8s.kube-controller-manager[36331]: I0516 19:39:54.566791   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="142.103µs"
May 16 19:39:57 research21 k8s.kube-controller-manager[36331]: I0516 19:39:57.909011   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="63.258331ms"
May 16 19:39:57 research21 k8s.kube-controller-manager[36331]: I0516 19:39:57.918856   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="441.192µs"
May 16 19:41:02 research21 k8s.kube-controller-manager[36331]: I0516 19:41:02.775553   36331 endpointslice_controller.go:344] "Error syncing endpoint slices for service, retrying" logger="endpointslice-controller" key="openstack/rabbitmq-lb" err="EndpointSlice informer cache is out of date"
May 16 19:59:53 research21 k8s.kube-controller-manager[36331]: I0516 19:59:53.736918   36331 endpointslice_controller.go:344] "Error syncing endpoint slices for service, retrying" logger="endpointslice-controller" key="openstack/traefik-lb" err="EndpointSlice informer cache is out of date"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.190137   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="169.556µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.190319   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="67.961µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.190411   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="60.605µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.191351   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="190.873µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.191842   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="67.169µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.191947   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="55.388µs"
May 18 06:32:32 research21 k8s.kube-controller-manager[36331]: I0518 06:32:32.192523   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="51.739µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.662347   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="160.264µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.662537   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="87.853µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.662641   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="51.653µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.662723   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="53.016µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.663849   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="controller-sunbeam-controller/modeloperator-856d6cf4bf" duration="49.383µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.663945   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="51.77µs"
May 19 17:31:33 research21 k8s.kube-controller-manager[36331]: I0519 17:31:33.664004   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="openstack/modeloperator-6cbd5bbd86" duration="142.626µs"
